comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10157429621556840_109018573273687,21785951839_10157429621556840,,b'Patricia Regina vem almo\xc3\xa7ar aqui em casa!',0,2018-03-18 05:02:29,0
10157429621556840_196074764321375,21785951839_10157429621556840,,b'Kimberly Klause\xf0\x9f\x98\x82',0,2018-03-18 05:02:30,0
10157429621556840_940086242808815,21785951839_10157429621556840,,b'Adrien Cacheleux',0,2018-03-18 05:02:33,0
10157429621556840_196074780988040,21785951839_10157429621556840,,b'Karole Catacutan',0,2018-03-18 05:02:36,0
10157429621556840_156200531735716,21785951839_10157429621556840,10157429621556840_196074780988040,b'cool!',0,2018-03-18 05:03:42,0
10157429621556840_940086259475480,21785951839_10157429621556840,,b'Bobana Milevska Spasovska Dora',0,2018-03-18 05:02:38,0
10157429621556840_109018753273669,21785951839_10157429621556840,,b'Dhanasree Vettathu\nYou try next time\xf0\x9f\x98\x82',0,2018-03-18 05:02:38,0
10157429621556840_940086296142143,21785951839_10157429621556840,,b'Denisa Vasile Andreea Drehuta .......',0,2018-03-18 05:02:47,0
10157429621556840_367537370428132,21785951839_10157429621556840,,b'\xd7\xaa\xd7\x95\xd7\x9e\xd7\xa8 \xd7\x91\xd7\xa0\xd7\x99\xd7\x90\xd7\x99\xd7\xa8',0,2018-03-18 05:02:50,0
10157429621556840_402095613588802,21785951839_10157429621556840,10157429621556840_367537370428132,b'\xd7\x97\xd7\x94\xd7\x94',0,2018-03-18 05:03:25,0
10157429621556840_109018886606989,21785951839_10157429621556840,,b'Elsa Frot',0,2018-03-18 05:02:52,0
10157429621556840_109018906606987,21785951839_10157429621556840,,b'Lukas Leskauskas',0,2018-03-18 05:02:55,0
10157429621556840_561584777549681,21785951839_10157429621556840,,b'Cheung Yee Ling scared!',0,2018-03-18 05:02:58,0
10157429621556840_140391596791061,21785951839_10157429621556840,10157429621556840_561584777549681,b' [[STICKER]]',0,2018-03-18 05:17:08,0
10157429621556840_109018949940316,21785951839_10157429621556840,,b'AND WHY THE HELL I KEEP ON REPEATING IT?',0,2018-03-18 05:02:59,24
10157429621556840_940086332808806,21785951839_10157429621556840,,b'Khusi Gohil Heer Patel Amee Thacker Karishma Malek',0,2018-03-18 05:02:58,0
10157429621556840_346395692538210,21785951839_10157429621556840,10157429621556840_940086332808806,b'Hun nan bhej nahin hu\xf0\x9f\x98\x85\xf0\x9f\x98\x85\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d',0,2018-03-18 05:23:21,0
10157429621556840_109018973273647,21785951839_10157429621556840,,b'Adela',0,2018-03-18 05:03:00,0
10157429621556840_587278268291029,21785951839_10157429621556840,,b'Jasper James',0,2018-03-18 05:03:02,0
10157429621556840_156200435069059,21785951839_10157429621556840,,b'Cristian Enache',0,2018-03-18 05:03:07,0
10157429621556840_109019116606966,21785951839_10157429621556840,,b'Magalie Coppens',0,2018-03-18 05:03:17,0
10157429621556840_367537530428116,21785951839_10157429621556840,,b'Lena Do Susu Do',0,2018-03-18 05:03:18,0
10157429621556840_198529407579053,21785951839_10157429621556840,,b'Anne-Sophie Caillon',0,2018-03-18 05:03:25,0
10157429621556840_402095630255467,21785951839_10157429621556840,,b'V\xc3\xb5 Ng\xe1\xbb\x8dc B\xe1\xba\xa3o H\xc3\xa2n',0,2018-03-18 05:03:28,0
10157429621556840_587278488291007,21785951839_10157429621556840,10157429621556840_402095630255467,b'Them ga ran qua',0,2018-03-18 05:03:59,0
10157429621556840_156200735069029,21785951839_10157429621556840,10157429621556840_402095630255467,b'Them Han',0,2018-03-18 05:04:27,0
10157429621556840_109020619940149,21785951839_10157429621556840,10157429621556840_402095630255467,b'Cac tom vl',0,2018-03-18 05:05:00,0
10157429621556840_156200515069051,21785951839_10157429621556840,,b'Philippe Lablans',0,2018-03-18 05:03:37,0
10157429621556840_156200521735717,21785951839_10157429621556840,,b'Sven Arentz',0,2018-03-18 05:03:41,0
10157429621556840_156200548402381,21785951839_10157429621556840,,b'Nadya Daskalova',0,2018-03-18 05:03:44,0
10157429621556840_587278438291012,21785951839_10157429621556840,,b'Kyra ich glaub ich werde auf ewig das Wort Fingerfood mit dir verbinden \xf0\x9f\x98\x82',0,2018-03-18 05:03:48,0
10157429621556840_402095766922120,21785951839_10157429621556840,,b'Simon Eriksson',0,2018-03-18 05:03:51,0
10157429621556840_402095773588786,21785951839_10157429621556840,,b'Babette GTargaryen unos dedos o que? ;P',0,2018-03-18 05:03:53,0
10157429621556840_225976314645679,21785951839_10157429621556840,,b'Patrycja \xf0\x9f\x98\x82',0,2018-03-18 05:03:57,0
10157429621556840_402095796922117,21785951839_10157429621556840,,b'Fabian Otte',0,2018-03-18 05:03:58,0
10157429621556840_225976324645678,21785951839_10157429621556840,,b'Umaya Rahman AkhiAkhi Faria Raisa',0,2018-03-18 05:04:00,0
10157429621556840_1796606047308318,21785951839_10157429621556840,10157429621556840_225976324645678,b':p',0,2018-03-18 05:08:27,0
10157429621556840_225976341312343,21785951839_10157429621556840,,b'Magyar S\xc3\xa1ra',0,2018-03-18 05:04:03,0
10157429621556840_156200781735691,21785951839_10157429621556840,10157429621556840_225976341312343,b'jovan csinalhatsz ilyet ebedre',0,2018-03-18 05:04:47,0
10157429621556840_188446665106495,21785951839_10157429621556840,,b'Nikos Jose Papathouelos',0,2018-03-18 05:04:05,0
10157429621556840_140384893458398,21785951839_10157429621556840,,b'Daria',0,2018-03-18 05:04:08,0
10157429621556840_2130165923880293,21785951839_10157429621556840,10157429621556840_140384893458398,b'\xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2',0,2018-03-18 05:19:26,0
10157429621556840_188450125106149,21785951839_10157429621556840,10157429621556840_140384893458398,b'Zrobisz mi taki obiad? \xf0\x9f\x98\x82',0,2018-03-18 05:20:56,0
10157429621556840_2018599578463444,21785951839_10157429621556840,10157429621556840_140384893458398,b'Same marchewki? Spoko',0,2018-03-18 05:22:01,0
10157429621556840_2036533106621824,21785951839_10157429621556840,10157429621556840_140384893458398,b'Twoje palce te\xc5\xbc mog\xc4\x85 by\xc4\x87',0,2018-03-18 05:22:59,0
10157429621556840_402095840255446,21785951839_10157429621556840,,b'Caitlin Bouchier',0,2018-03-18 05:04:08,0
10157429621556840_156200651735704,21785951839_10157429621556840,,b'Siw Johannessen',0,2018-03-18 05:04:10,0
10157429621556840_140384920125062,21785951839_10157429621556840,,b'Lisa Lisa',0,2018-03-18 05:04:14,0
10157429621556840_156200675069035,21785951839_10157429621556840,,b'Nico Riehle Fabian Hering',0,2018-03-18 05:04:15,0
10157429621556840_156200688402367,21785951839_10157429621556840,,b'Florent',0,2018-03-18 05:04:17,0
10157429621556840_225976404645670,21785951839_10157429621556840,,b'Lukha Luvuno',0,2018-03-18 05:04:23,0
10157429621556840_367537923761410,21785951839_10157429621556840,,b'Rob Merkel Patrick Wendt Dieter-Carmelo Riedlinger Mirko Brenner wtf ? \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3',0,2018-03-18 05:04:23,0
10157429621556840_402095940255436,21785951839_10157429621556840,,b'Bhim Jung Thapa Ayu Trianie Thakur Saab \xf0\x9f\x98\x82me',0,2018-03-18 05:04:30,0
10157429621556840_402095983588765,21785951839_10157429621556840,,b'Maaz Ansari',0,2018-03-18 05:04:33,0
10157429621556840_587278651624324,21785951839_10157429621556840,,b'Nicoline Manzano',0,2018-03-18 05:04:34,1
10157429621556840_2036534433288358,21785951839_10157429621556840,10157429621556840_587278651624324,b'Hahaha den hemmelige ingrediens i familien Hundahls fam\xc3\xb8se k\xc3\xb8dsovs',0,2018-03-18 05:27:41,0
10157429621556840_402095990255431,21785951839_10157429621556840,,b'Rudolf Meijer chop',0,2018-03-18 05:04:35,0
