,Category,Type,Percentage,Toxicity,Total,Toxicity_Rate,Lower_Percentage,Upper_Percentage,Lower_Toxicity_Percentage,Upper_Toxicity_Percentage
0,Sports,racist,2.994139584443261,9385,190986,4.913972751929461,2.988861952207356,2.999417216679166,4.912488884126578,4.915456619732344
1,Sports,sexist,1.2040490143846565,9385,190986,4.913972751929461,1.200671511158693,1.20742651761062,4.912488884126578,4.915456619732344
2,Sports,homophobic,0.21310602024507191,9385,190986,4.913972751929461,0.211677985652184,0.21453405483795984,4.912488884126578,4.915456619732344
3,News,racist,7.1097033180706255,31886,193769,16.455676604616837,7.10538582004133,7.114020816099921,16.453149661587727,16.458203547645947
4,News,sexist,4.96456124945117,31886,193769,16.455676604616837,4.9609119923447595,4.96821050655758,16.453149661587727,16.458203547645947
5,News,homophobic,0.7620899454305965,31886,193769,16.455676604616837,0.7606289019036342,0.7635509889575588,16.453149661587727,16.458203547645947
6,Entertainment,racist,2.868025991485548,8926,189452,4.711483647573,2.8627261184909187,2.8733258644801776,4.710023251070803,4.712944044075197
7,Entertainment,sexist,11.360071700649787,8926,189452,4.711483647573,11.349995471215617,11.370147930083956,4.710023251070803,4.712944044075197
8,Entertainment,homophobic,1.3107775039211291,8926,189452,4.711483647573,1.30716596610379,1.3143890417384683,4.710023251070803,4.712944044075197
