comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10156316962108463_10156317081318463,8245623462_10156316962108463,,"b""If you took Steph, Klay, KD off his team Draymond wouldn't do anything..........Where are those people at now? \xf0\x9f\x98\x86""",0,2018-03-18 02:18:23,35
10156316962108463_10156317088198463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""It's the suns please stfu""",0,2018-03-18 02:21:03,45
10156316962108463_10156317098683463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Still here',0,2018-03-18 02:24:38,4
10156316962108463_10156317107888463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'here. just one game and against theworst team rn',0,2018-03-18 02:29:13,2
10156316962108463_10156317111268463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b'But without Steph, KD, Klay he would be nothing? Now the opponent matters?'",0,2018-03-18 02:31:01,4
10156316962108463_10156317112903463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b'Lebrons scores a triple double against the Suns, everybody loses their minds \xf0\x9f\xa4\x94'",0,2018-03-18 02:31:34,9
10156316962108463_10156317115243463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""Felix People are just haters. It's funny lol.""",0,2018-03-18 02:32:29,0
10156316962108463_10156317120798463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Then why doesnt everyone get these stats on the suns?',0,2018-03-18 02:34:49,4
10156316962108463_10156317149393463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b'Still here buddy, they beat the suns while he had 2 other players score over 20 to help him. Season high 25 lmaoooo trash'",0,2018-03-18 02:42:46,2
10156316962108463_10156317168468463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Felix Gurmann he also averaged one against golden state in the finals \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,2018-03-18 02:49:53,1
10156316962108463_10156317171763463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""Didn't Lonzo drop 25 on the Suns?\xf0\x9f\x98\x82""",0,2018-03-18 02:51:10,2
10156316962108463_10156317178333463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Mike Barrett he also lost 2 times against them in the last 3 years. So what?',0,2018-03-18 02:53:42,2
10156316962108463_10156317204343463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""Booker didn't play either""",0,2018-03-18 03:02:44,1
10156316962108463_10156317215993463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""Not even a full strength Suns... doesn't count""",0,2018-03-18 03:09:04,1
10156316962108463_10156317219948463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b'Draymond is a two way superstar whether you like it or not, ead haters, sheeeshhhh \xf0\x9f\x94\xa5'",0,2018-03-18 03:11:00,4
10156316962108463_10156317234838463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""Yeah because Devin Booker would of made sure Draymond Green didn't score, rebound, get assists and play elite D. Lol""",0,2018-03-18 03:18:24,0
10156316962108463_10156317251363463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Corey Ellis you must a basketball expert\nno just kidding ;)',0,2018-03-18 03:26:02,0
10156316962108463_10156317253248463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Beau Boyd maybe all star buy not a superstar',0,2018-03-18 03:27:18,0
10156316962108463_10156317516598463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'1 game against the suns?\xf0\x9f\xa4\x94\xf0\x9f\x98\x82',0,2018-03-18 05:30:20,0
10156316962108463_10156317518423463,8245623462_10156316962108463,10156316962108463_10156317081318463,b'Felix Gurmann he also averaged it against the warriors last year in the finals....',0,2018-03-18 05:31:19,0
10156316962108463_10156317534523463,8245623462_10156316962108463,10156316962108463_10156317081318463,"b""If he wasn't the 4th option he'd be a 20 ppg scorer...people just like to hate.""",0,2018-03-18 05:38:47,0
10156316962108463_10156317082718463,8245623462_10156316962108463,,"b""Yall need to relax it's only suns""",0,2018-03-18 02:19:02,0
10156316962108463_10156317201068463,8245623462_10156316962108463,10156316962108463_10156317082718463,b'but youre too proud when lebron drops triple double on the suns!\xf0\x9f\x98\x82',0,2018-03-18 03:01:29,2
10156316962108463_10156317083913463,8245623462_10156316962108463,,b'Donkey',0,2018-03-18 02:19:37,1
